Symbol,Market Cap
MMM,73320284160
AOS,9257620480
ABT,220050522112
ABBV,309659959296
ACN,178004230144
ADBE,150222716928
AMD,151740448768
AES,7332580352
AFL,58309414912
A,29282930688
APD,59848269824
ABNB,71168286720
AKAM,10819816448
ALB,6667281920
ARE,13306312704
ALGN,12016739328
ALLE,10799243264
LNT,15563934720
ALL,51030757376
GOOGL,1927966359552
GOOG,1927958888448
MO,95531163648
AMZN,1961914400768
AMCR,13485022208
AEE,26348511232
AEP,55871164416
AXP,176069754880
AIG,47851872256
AMT,99812122624
AWK,28489156608
AMP,44914728960
AME,36677234688
AMGN,153757433856
APH,79250415616
ADI,88859058176
ANSS,25972105216
AON,81281171456
APA,5439426560
APO,71834836992
AAPL,2976629129216
AMAT,117755207680
APTV,10995051520
ACGL,34614714368
ADM,22010351616
ANET,91645591552
AJG,85420605440
AIZ,9642518528
T,192907821056
ATO,24044115968
ADSK,55049850880
ADP,121874145280
AZO,61220352000
AVB,27477215232
AVY,13398949888
AXON,44110180352
BKR,37563977728
BALL,13579607040
BAC,273320673280
BAX,14279803904
BDX,57938100224
BRK-B,1129498935296
BBY,12773089280
TECH,8018223616
BIIB,16858009600
BLK,136230240256
BX,154989182976
BK,55567757312
BA,118007504896
BKNG,150507896832
BSX,138544480256
BMY,103182671872
AVGO,855472799744
BR,27101601792
BRO,34068604928
BF-B,16158089216
BLDR,13736778752
BG,10221758464
BXP,10696228864
CHRW,10789396480
CDNS,71176249344
CZR,5370289152
CPT,11742675968
CPB,11372661760
COF,61644910592
CAH,31831416832
KMX,10437478400
CCL,23899729920
CARR,51199926272
CAT,140249153536
CBOE,22522503168
CBRE,34768416768
CDW,19606929408
COR,55078412288
CNC,31678392320
CNP,23876753408
CF,11985625088
CRL,4899291136
SCHW,139753193472
CHTR,47486640128
CVX,236907642880
CMG,67441717248
CB,113542103040
CHD,25681577984
CI,89517154304
CINF,20524103680
CTAS,83196272640
CSCO,228075372544
C,116016340992
CFG,15221006336
CLX,17423994880
CME,94254571520
CMS,21482440704
KO,307404013568
